model,ngram,stop_words,n_comp,max_features,n_clusters,lemmatization,WSS,Silhouette Score
lsa,"(1, 1)",None,50,5000,5,False,103.6479,0.0300
lsa,"(1, 1)",None,50,5000,5,True,101.0465,0.0493
lsa,"(1, 1)",None,50,5000,9,False,95.7644,0.0392
lsa,"(1, 1)",None,50,5000,9,True,93.9889,0.0384
lsa,"(1, 1)",None,50,5000,13,False,88.9466,0.0598
lsa,"(1, 1)",None,50,5000,13,True,86.4627,0.0835
lsa,"(1, 1)",None,100,1000,5,False,208.7716,0.0166
lsa,"(1, 1)",None,100,1000,5,True,207.9328,0.0243
lsa,"(1, 1)",None,100,1000,9,False,200.3884,0.0211
lsa,"(1, 1)",None,100,1000,9,True,198.3713,0.0365
lsa,"(1, 1)",None,100,1000,13,False,192.8206,0.0320
lsa,"(1, 1)",None,100,1000,13,True,189.5025,0.0455
lsa,"(1, 1)",None,100,5000,5,False,174.8249,0.0253
lsa,"(1, 1)",None,100,5000,5,True,172.3737,0.0270
lsa,"(1, 1)",None,100,5000,9,False,168.6327,0.0246
lsa,"(1, 1)",None,100,5000,9,True,164.9146,0.0265
lsa,"(1, 1)",None,100,5000,13,False,160.5062,0.0271
lsa,"(1, 1)",None,100,5000,13,True,156.4589,0.0492
lsa,"(1, 1)",english,50,1000,5,False,117.2970,0.0818
lsa,"(1, 1)",english,50,1000,5,True,116.8768,0.0901
lsa,"(1, 1)",english,50,1000,9,False,108.2094,0.1153
lsa,"(1, 1)",english,50,1000,9,True,108.0671,0.1149
lsa,"(1, 1)",english,50,1000,13,False,100.1749,0.0809
lsa,"(1, 1)",english,50,1000,13,True,98.3791,0.1009
lsa,"(1, 1)",english,50,5000,5,False,97.9283,0.2012
lsa,"(1, 1)",english,50,5000,5,True,96.5629,0.1304
lsa,"(1, 1)",english,50,5000,9,False,90.0140,0.1051
lsa,"(1, 1)",english,50,5000,9,True,89.1506,0.1466
lsa,"(1, 1)",english,50,5000,13,False,81.5907,0.1499
lsa,"(1, 1)",english,50,5000,13,True,81.1738,0.1317
lsa,"(1, 1)",english,100,1000,5,False,201.7387,0.0359
lsa,"(1, 1)",english,100,1000,5,True,201.7852,0.0429
lsa,"(1, 1)",english,100,1000,9,False,192.0328,0.0414
lsa,"(1, 1)",english,100,1000,9,True,192.6480,0.0365
lsa,"(1, 1)",english,100,1000,13,False,185.5608,0.0466
lsa,"(1, 1)",english,100,1000,13,True,181.8843,0.0536
lsa,"(1, 1)",english,100,5000,5,False,169.3644,0.0559
lsa,"(1, 1)",english,100,5000,5,True,167.5798,0.1090
lsa,"(1, 1)",english,100,5000,9,False,162.5531,0.0256
lsa,"(1, 1)",english,100,5000,9,True,159.7412,0.0345
lsa,"(1, 1)",english,100,5000,13,False,155.0354,0.0317
lsa,"(1, 1)",english,100,5000,13,True,153.3413,0.0272
lsa,"(1, 2)",None,50,1000,5,False,128.4033,0.0331
lsa,"(1, 2)",None,50,1000,5,True,128.8811,0.0533
lsa,"(1, 2)",None,50,1000,9,False,118.2874,0.0531
lsa,"(1, 2)",None,50,1000,9,True,119.1666,0.0471
lsa,"(1, 2)",None,50,1000,13,False,109.3995,0.0633
lsa,"(1, 2)",None,50,1000,13,True,109.6856,0.0731
lsa,"(1, 2)",None,50,5000,5,False,81.6050,0.0253
lsa,"(1, 2)",None,50,5000,5,True,81.1594,0.2422
lsa,"(1, 2)",None,50,5000,9,False,75.2670,0.0543
lsa,"(1, 2)",None,50,5000,9,True,75.2555,0.0708
lsa,"(1, 2)",None,50,5000,13,False,69.3175,0.0504
lsa,"(1, 2)",None,50,5000,13,True,68.7194,0.0570
lsa,"(1, 2)",None,100,1000,5,False,215.9749,0.0323
lsa,"(1, 2)",None,100,1000,5,True,218.0158,0.0151
lsa,"(1, 2)",None,100,1000,9,False,207.0095,0.0293
lsa,"(1, 2)",None,100,1000,9,True,208.1214,0.0379
lsa,"(1, 2)",None,100,1000,13,False,199.1734,0.0202
lsa,"(1, 2)",None,100,1000,13,True,198.3177,0.0465
lsa,"(1, 2)",None,100,5000,5,False,144.5171,0.0090
lsa,"(1, 2)",None,100,5000,5,True,144.2588,0.0456
lsa,"(1, 2)",None,100,5000,9,False,138.4454,0.0261
lsa,"(1, 2)",None,100,5000,9,True,138.0588,0.0348
lsa,"(1, 2)",None,100,5000,13,False,132.5856,0.0163
lsa,"(1, 2)",None,100,5000,13,True,132.2256,-0.0013
lsa,"(1, 2)",english,50,1000,5,False,119.9854,0.0767
lsa,"(1, 2)",english,50,1000,5,True,121.8705,0.1095
lsa,"(1, 2)",english,50,1000,9,False,109.2787,0.1049
lsa,"(1, 2)",english,50,1000,9,True,109.8760,0.1161
lsa,"(1, 2)",english,50,1000,13,False,101.0383,0.1110
lsa,"(1, 2)",english,50,1000,13,True,99.8657,0.1358
lsa,"(1, 2)",english,50,5000,5,False,76.9116,0.1197
lsa,"(1, 2)",english,50,5000,5,True,76.4310,0.1813
lsa,"(1, 2)",english,50,5000,9,False,69.8894,0.1283
lsa,"(1, 2)",english,50,5000,9,True,70.4345,0.1311
lsa,"(1, 2)",english,50,5000,13,False,63.1648,0.0874
lsa,"(1, 2)",english,50,5000,13,True,64.2651,0.1985
lsa,"(1, 2)",english,100,1000,5,False,208.1078,0.0446
lsa,"(1, 2)",english,100,1000,5,True,210.6086,0.0331
lsa,"(1, 2)",english,100,1000,9,False,198.7542,0.0453
lsa,"(1, 2)",english,100,1000,9,True,199.5571,0.0456
lsa,"(1, 2)",english,100,1000,13,False,189.1819,0.0474
lsa,"(1, 2)",english,100,1000,13,True,189.3725,0.0722
